Condition,Drug,Indication,Type,Reviews,Effective,EaseOfUse,Satisfaction,Information
adenocarcinoma of pancreas,Paclitaxel-Protein Bound,On Label,RX,27 Reviews,4.18,4,3.77,"
					This medication is used to treat certain cancers (including breast, lung, and pancreatic cancer). This is a brand name drug and a generic may be available. The average cash price for 6 Suspension Reconstituted(s), 100mg  each, is $10362.19. You can buy Abraxane at the discounted price of $8689.95 by using the WebMDRx coupon, a savings of 16%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
adenocarcinoma of pancreas,Gemcitabine,On Label,RX,26 Reviews,3.44,3.11,2.67,"
					Gemcitabine is used to treat certain types of cancer (including breast, lung, ovarian, pancreatic). This is a generic drug. The average cash price for 1 Solution Reconstituted, 1gm  each, is $170.99. You can buy gemcitabine hcl at the discounted price of $51.95 by using the WebMDRx coupon, a savings of 70%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
adenocarcinoma of pancreas,Gemcitabine,On Label,RX,17 Reviews,3.25,4,3,"
					Gemcitabine is used to treat certain types of cancer (including breast, lung, ovarian, pancreatic). This is a generic drug. The average cash price for 1 Solution Reconstituted, 1gm  each, is $170.99. You can buy gemcitabine hcl at the discounted price of $51.95 by using the WebMDRx coupon, a savings of 70%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
adenocarcinoma of pancreas,Capecitabine,Off Label,RX,10 Reviews,3.75,4.5,3.75,"
					Capecitabine is used to treat breast, colon, or rectal cancer. This is a generic drug. The average cash price for 112 Tablet(s), 500mg each of the generic (capecitabine) is $5829.19. You can buy capecitabine at the discounted price of $2199.22 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
adenocarcinoma of pancreas,Fluorouracil,On Label,RX,5 Reviews,3,1,3,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Vial, 50ml of 2.5gm/50ml each of the generic (fluorouracil) is $25.99. You can buy fluorouracil at the discounted price of $15.30 by using the WebMDRx coupon, a savings of 41%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
adenocarcinoma of pancreas,Mitomycin,On Label,RX,4 Reviews,2.5,2,2,"
					Mitomycin is used to treat various types of cancer (such as stomach/pancreas cancer). This is a generic drug. The average cash price for 1 Solution Reconstituted, 40mg  each, is $1516.09. You can buy mitomycin at the discounted price of $574.76 by using the WebMDRx coupon, a savings of 62%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
adenocarcinoma of pancreas,Doxorubicin,Off Label,RX,4 Reviews,2,2,3,"
					Doxorubicin is an anthracycline type of chemotherapy that is used to treat several different types of cancer. This is a generic drug. The average cash price for 1 Vial, 5ml of 2mg/ml  each, is $23.29. You can buy doxorubicin hcl at the discounted price of $7.41 by using the WebMDRx coupon, a savings of 68%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
adenocarcinoma of pancreas,Doxorubicin,Off Label,RX,4 Reviews,2,2,3,"
					Doxorubicin is an anthracycline type of chemotherapy that is used to treat several different types of cancer. This is a generic drug. The average cash price for 1 Vial, 5ml of 2mg/ml  each, is $23.29. You can buy doxorubicin hcl at the discounted price of $7.41 by using the WebMDRx coupon, a savings of 68%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
adenocarcinoma of pancreas,Oxaliplatin,Off Label,RX,3 Reviews,5,5,3,"
					 This is a generic drug. The average cash price for 10 Vial(s), 20ml of 100mg/20ml  each, is $2049.59. You can buy oxaliplatin at the discounted price of $844.33 by using the WebMDRx coupon, a savings of 59%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
adenocarcinoma of pancreas,Doxorubicin,Off Label,RX,2 Reviews,1,3,1,"
					Doxorubicin is an anthracycline type of chemotherapy that is used to treat several different types of cancer. This is a generic drug. The average cash price for 1 Vial, 5ml of 2mg/ml  each, is $23.29. You can buy doxorubicin hcl at the discounted price of $7.41 by using the WebMDRx coupon, a savings of 68%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
adenocarcinoma of pancreas,Cisplatin,Off Label,RX,1 Reviews,3,3,3,"
					Cisplatin is used to treat various types of cancer. This is a generic drug. The average cash price for 3 Vial(s), 200ml of 200mg/200ml  each, is $362.89. You can buy cisplatin at the discounted price of $235.93 by using the WebMDRx coupon, a savings of 35%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
adenocarcinoma of pancreas,Paclitaxel-Protein Bound,On Label,RX,1 Reviews,3,2,3,"
					This medication is used to treat certain cancers (including breast, lung, and pancreatic cancer). This is a brand name drug and a generic may be available. The average cash price for 6 Suspension Reconstituted(s), 100mg  each, is $10362.19. You can buy Abraxane at the discounted price of $8689.95 by using the WebMDRx coupon, a savings of 16%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Flurandrenolide,On Label,RX,1 Reviews,5,5,5,"
					This medication is used to treat a variety of skin conditions (e.g., eczema, dermatitis, allergies, rash). This is a brand name drug and a generic may be available. The average cash price for 1 Tube, 60gm of 0.05% each of the generic (flurandrenolide) is $430.99. You can buy flurandrenolide at the discounted price of $191.67 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Hydrocortisone,On Label,RX,1 Reviews,4,4,3,"
					This medication is used to treat a variety of skin conditions (e.g., insect bites, poison oak/ivy, eczema, dermatitis, allergies, rash, itching of the outer female genitals, anal itching). This is a generic drug. The average cash price for 1 Tube, 28.35gm of 2.5% each of the generic (hydrocortisone) is $14.59. You can buy hydrocortisone at the discounted price of $9.11 by using the WebMDRx coupon, a savings of 38%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Hydrocortisone,On Label,RX/OTC,1 Reviews,1,1,1,"
					This medication is used to treat a variety of skin conditions (e.g., insect bites, poison oak/ivy, eczema, dermatitis, allergies, rash, itching of the outer female genitals, anal itching). This is a generic drug. The average cash price for 1 Tube, 28.35gm of 2.5% each of the generic (hydrocortisone) is $14.59. You can buy hydrocortisone at the discounted price of $9.11 by using the WebMDRx coupon, a savings of 38%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Methylprednisolone Acetate,On Label,RX,1 Reviews,5,5,4,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Vial, 1ml of 80mg/ml each of the generic (methylprednisolone acetate) is $16.57. You can buy methylprednisolone acetate at the discounted price of $14.49 by using the WebMDRx coupon, a savings of 13%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Prednisone,On Label,RX,1 Reviews,4,5,4,"
					 This is a generic drug. The average cash price for 10 Tablet(s), 20mg each of the generic (prednisone) is $11.99. You can buy prednisone at the discounted price of $3.00 by using the WebMDRx coupon, a savings of 75%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,1 Reviews,5,5,5,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Vial, 1ml of 40mg/ml each of the generic (triamcinolone acetonide) is $10.18. You can buy triamcinolone acetonide at the discounted price of $8.62 by using the WebMDRx coupon, a savings of 15%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Fluocinolone-Emol Cmb#65,On Label,RX,1 Reviews,1,4,1,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Tube, 15gm of 0.025% each of the generic (fluocinolone acetonide) is $35.99. You can buy fluocinolone acetonide at the discounted price of $21.49 by using the WebMDRx coupon, a savings of 40%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Fluocinolone-Emol Cmb#65,On Label,RX,1 Reviews,1,3,1,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Tube, 15gm of 0.025% each of the generic (fluocinolone acetonide) is $35.99. You can buy fluocinolone acetonide at the discounted price of $21.49 by using the WebMDRx coupon, a savings of 40%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Desonide-Emollient Combo No 28,On Label,RX,1 Reviews,4,4,4,"
					 This is a generic drug. The average cash price for 1 Tube, 15gm of 0.05% each of the generic (desonide) is $89.99. You can buy desonide at the discounted price of $40.60 by using the WebMDRx coupon, a savings of 55%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Flurandrenolide,On Label,RX,1 Reviews,3,2,3,"
					This medication is used to treat a variety of skin conditions (e.g., eczema, dermatitis, allergies, rash). This is a brand name drug and a generic may be available. The average cash price for 1 Tube, 60gm of 0.05% each of the generic (flurandrenolide) is $430.99. You can buy flurandrenolide at the discounted price of $191.67 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Flurandrenolide,On Label,RX,1 Reviews,3,2,3,"
					This medication is used to treat a variety of skin conditions (e.g., eczema, dermatitis, allergies, rash). This is a brand name drug and a generic may be available. The average cash price for 1 Tube, 60gm of 0.05% each of the generic (flurandrenolide) is $430.99. You can buy flurandrenolide at the discounted price of $191.67 by using the WebMDRx coupon, a savings of 56%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Hydrocortisone,On Label,OTC,1 Reviews,5,5,5,"
					This medication is used to treat a variety of skin conditions (e.g., insect bites, poison oak/ivy, eczema, dermatitis, allergies, rash, itching of the outer female genitals, anal itching). This is a generic drug. The average cash price for 1 Tube, 28.35gm of 2.5% each of the generic (hydrocortisone) is $14.59. You can buy hydrocortisone at the discounted price of $9.11 by using the WebMDRx coupon, a savings of 38%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Triamcinolone Acetonide,On Label,RX,1 Reviews,5,5,5,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Vial, 1ml of 40mg/ml each of the generic (triamcinolone acetonide) is $10.18. You can buy triamcinolone acetonide at the discounted price of $8.62 by using the WebMDRx coupon, a savings of 15%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Fluocinolone-Skin Clnsr28,On Label,RX,1 Reviews,5,5,5,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Tube, 15gm of 0.025% each of the generic (fluocinolone acetonide) is $35.99. You can buy fluocinolone acetonide at the discounted price of $21.49 by using the WebMDRx coupon, a savings of 40%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Prednisone,On Label,RX,1 Reviews,5,5,5,"
					 This is a generic drug. The average cash price for 10 Tablet(s), 20mg each of the generic (prednisone) is $11.99. You can buy prednisone at the discounted price of $3.00 by using the WebMDRx coupon, a savings of 75%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Fluocinonide,On Label,RX,1 Reviews,5,5,5,"
					 This is a generic drug. You can buy fluocinonide at the discounted price of $66.49 by using the WebMDRx coupon. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Vit E-Glycerin-Dimethicone,On Label,"
",1 Reviews,4,5,5,"
					 This is a brand name drug and a generic may be available. The average cash price for 1 Jar, 453gm of   each, is $14.50. You can buy Vanicream at the discounted price of $12.38 by using the WebMDRx coupon, a savings of 15%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Diflorasone,On Label,RX,1 Reviews,4,5,5,"
					Diflorasone is used to treat a variety of skin conditions (e.g., eczema, dermatitis, allergies, rash). This is a generic drug. The average cash price for 1 Tube, 30gm of 0.05%  each, is $334.99. You can buy diflorasone diacetate at the discounted price of $299.49 by using the WebMDRx coupon, a savings of 11%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Prednisolone,On Label,RX,1 Reviews,3,2,2,"
					Prednisolone is a man-made form of a natural substance (corticosteroid hormone) made by the adrenal gland. This is a brand name drug and a generic may be available. The average cash price for 1 Disp Pack, 21 tablets therapy pack  each, is $348.99. You can buy Millipred DP at the discounted price of $315.47 by using the WebMDRx coupon, a savings of 10%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
Atopic Dermatitis,Hydrocortisone-Oatmeal-Aloe-E,On Label,OTC,1 Reviews,1,3,1,"
					This medication is used to treat a variety of skin conditions (e.g., insect bites, poison oak/ivy, eczema, dermatitis, allergies, rash, itching of the outer female genitals, anal itching). This is a generic drug. The average cash price for 1 Tube, 28.35gm of 2.5% each of the generic (hydrocortisone) is $14.59. You can buy hydrocortisone at the discounted price of $9.11 by using the WebMDRx coupon, a savings of 38%. Even if this drug is covered by Medicare or your insurance, we recommend you compare prices. The WebMDRx coupon or cash price may be less than your co-pay.
				"
